id,country,language,treatment,age,gender,gender_text,education,political_ideology,religiosity,subjective_SES,AI_familiarity,AI_frequency,AI_trustworthy,order,dilemma,advisor,advice,trustworthy,blame,trust_other_issues,surprise,humanlike,judgement_pre,judgement_post,confidence_pre,confidence_post,comprehension_check
10,Brazil,PT,Human,34,Female,NA,6,2,6,8,6,5,5,1,Baby,Dr. Smith,Utilitarian,7,1,7,1,6,0.11,0.97,6,7,Correct
10,Brazil,PT,Human,34,Female,NA,6,2,6,8,6,5,5,2,Bike,Dr. Thompson,Deontological,6,1,6,3,5,1,0,7,7,Correct
11,Brazil,PT,AI,28,Male,NA,5,5,4,3,7,5,7,1,Bike,VIRTUE-BOT,Utilitarian,7,4,7,3,3,1,0.78,7,7,Correct
11,Brazil,PT,AI,28,Male,NA,5,5,4,3,7,5,7,2,Baby,ETHIC-AI,Deontological,5,7,5,4,5,0.87,0.66,7,5,Incorrect
12,Brazil,PT,AI,34,Female,NA,6,4,7,6,7,5,5,1,Bike,VIRTUE-BOT,Deontological,4,3,5,6,4,0.33,0.09,6,7,Correct
12,Brazil,PT,AI,34,Female,NA,6,4,7,6,7,5,5,2,Baby,ETHIC-AI,Utilitarian,1,7,1,7,1,0.11,0.02,7,7,Correct
13,Brazil,PT,Human,29,Female,NA,7,2,5,5,7,4,7,1,Bike,Dr. Smith,Deontological,7,3,6,7,7,0.85,0.27,4,5,Correct
13,Brazil,PT,Human,29,Female,NA,7,2,5,5,7,4,7,2,Baby,Dr. Thompson,Utilitarian,4,7,5,7,1,0.18,0.39,1,2,Incorrect
14,Brazil,PT,AI,35,Female,NA,5,7,7,6,5,3,4,1,Bike,ETHIC-AI,Utilitarian,4,4,4,4,4,0.46,NA,4,3,Incorrect
14,Brazil,PT,AI,35,Female,NA,5,7,7,6,5,3,4,2,Baby,VIRTUE-BOT,Deontological,7,7,6,4,4,NA,1,7,7,Correct
15,Brazil,PT,Human,51,Male,NA,6,5,1,7,1,1,1,1,Bike,Dr. Smith,Utilitarian,5,2,5,4,4,0.95,0.94,6,6,Correct
15,Brazil,PT,Human,51,Male,NA,6,5,1,7,1,1,1,2,Baby,Dr. Thompson,Deontological,3,3,2,4,3,0.68,0.83,4,5,Correct
16,Brazil,PT,Human,24,Male,NA,6,5,1,7,7,5,7,1,Bike,Dr. Smith,Utilitarian,7,7,7,7,7,1,1,7,7,Correct
16,Brazil,PT,Human,24,Male,NA,6,5,1,7,7,5,7,2,Baby,Dr. Thompson,Deontological,1,7,1,1,4,1,1,6,7,Correct
17,Brazil,PT,AI,22,Male,NA,6,6,5,8,7,5,3,1,Bike,VIRTUE-BOT,Utilitarian,4,2,5,1,2,0.64,0.67,3,3,Correct
17,Brazil,PT,AI,22,Male,NA,6,6,5,8,7,5,3,2,Baby,ETHIC-AI,Deontological,5,2,5,2,2,0.01,0,6,6,Correct
18,Brazil,PT,AI,41,Female,NA,8,1,NA,6,5,3,4,1,Baby,VIRTUE-BOT,Deontological,4,7,1,5,4,0,0,7,7,Correct
18,Brazil,PT,AI,41,Female,NA,8,1,NA,6,5,3,4,2,Bike,ETHIC-AI,Utilitarian,1,7,1,1,1,0.15,0,6,1,Correct
19,Brazil,PT,Human,27,Male,NA,5,4,1,5,7,4,4,1,Bike,Dr. Thompson,Deontological,3,4,3,5,4,0.78,0.62,2,2,Correct
19,Brazil,PT,Human,27,Male,NA,5,4,1,5,7,4,4,2,Baby,Dr. Smith,Utilitarian,2,6,1,7,1,0,0,5,6,Correct
20,Brazil,PT,AI,22,Female,NA,6,5,7,6,6,5,6,1,Baby,ETHIC-AI,Deontological,6,7,5,6,5,0.63,0.82,6,5,Incorrect
20,Brazil,PT,AI,22,Female,NA,6,5,7,6,6,5,6,2,Bike,VIRTUE-BOT,Utilitarian,7,5,6,7,6,0.28,0.38,6,6,Correct
21,Brazil,PT,Human,33,Female,NA,6,1,1,3,6,3,4,1,Bike,Dr. Thompson,Utilitarian,2,4,4,3,1,0.11,0.31,4,2,Correct
21,Brazil,PT,Human,33,Female,NA,6,1,1,3,6,3,4,2,Baby,Dr. Smith,Deontological,6,5,5,5,5,0.42,0.05,1,5,Correct
22,Brazil,PT,AI,51,Female,NA,6,7,6,8,6,3,5,1,Baby,VIRTUE-BOT,Deontological,5,5,5,6,5,0.06,0.09,6,6,Correct
22,Brazil,PT,AI,51,Female,NA,6,7,6,8,6,3,5,2,Bike,ETHIC-AI,Utilitarian,5,5,5,5,5,0.19,0.1,6,6,Incorrect
23,Brazil,PT,AI,25,Female,NA,6,4,6,7,6,4,5,1,Baby,ETHIC-AI,Utilitarian,5,5,6,6,1,0.04,1,5,6,Correct
23,Brazil,PT,AI,25,Female,NA,6,4,6,7,6,4,5,2,Bike,VIRTUE-BOT,Deontological,3,5,2,7,1,0.95,0.95,6,5,Correct
24,Brazil,PT,Human,20,Female,NA,4,4,4,6,7,5,7,1,Bike,Dr. Smith,Deontological,6,1,7,1,7,0.04,0.03,4,7,Correct
24,Brazil,PT,Human,20,Female,NA,4,4,4,6,7,5,7,2,Baby,Dr. Thompson,Utilitarian,1,7,1,7,1,0,1,7,7,Correct
25,Brazil,PT,AI,22,Female,NA,5,4,4,3,5,4,5,1,Bike,VIRTUE-BOT,Deontological,7,6,6,3,7,0.24,0,4,7,Correct
25,Brazil,PT,AI,22,Female,NA,5,4,4,3,5,4,5,2,Baby,ETHIC-AI,Utilitarian,4,5,5,4,4,0,0.57,7,4,Correct
26,Brazil,PT,AI,33,Male,NA,4,4,1,2,3,3,3,1,Bike,VIRTUE-BOT,Deontological,3,4,4,4,4,0.63,0.36,3,4,Correct
26,Brazil,PT,AI,33,Male,NA,4,4,1,2,3,3,3,2,Baby,ETHIC-AI,Utilitarian,4,6,5,5,5,0.38,0.62,6,5,Correct
27,Brazil,PT,AI,40,Female,NA,1,5,5,NA,6,4,6,1,Baby,VIRTUE-BOT,Utilitarian,6,6,6,6,6,0.95,1,7,7,Correct
27,Brazil,PT,AI,40,Female,NA,1,5,5,NA,6,4,6,2,Bike,ETHIC-AI,Deontological,7,6,6,4,6,1,0.97,7,7,Incorrect
28,Brazil,PT,AI,33,Female,NA,4,2,4,5,6,4,5,1,Bike,VIRTUE-BOT,Utilitarian,6,2,6,5,5,0.83,0.89,5,6,Correct
28,Brazil,PT,AI,33,Female,NA,4,2,4,5,6,4,5,2,Baby,ETHIC-AI,Deontological,4,3,4,6,5,0.95,0.83,5,5,Correct
29,Brazil,PT,AI,35,Female,NA,4,4,4,5,4,2,5,1,Bike,ETHIC-AI,Utilitarian,6,5,6,3,6,0.95,1,3,7,Correct
29,Brazil,PT,AI,35,Female,NA,4,4,4,5,4,2,5,2,Baby,VIRTUE-BOT,Deontological,3,3,5,6,1,1,0.04,6,2,Correct
30,Brazil,PT,Human,31,Female,NA,6,7,5,5,7,4,7,1,Bike,Dr. Thompson,Utilitarian,7,4,7,7,7,1,1,7,7,Correct
30,Brazil,PT,Human,31,Female,NA,6,7,5,5,7,4,7,2,Baby,Dr. Smith,Deontological,7,6,7,7,7,1,0.92,7,7,Incorrect
31,Brazil,PT,Human,33,Female,NA,6,4,5,4,6,5,6,1,Baby,Dr. Smith,Deontological,5,1,7,2,5,0.66,0.07,3,7,Correct
31,Brazil,PT,Human,33,Female,NA,6,4,5,4,6,5,6,2,Bike,Dr. Thompson,Utilitarian,4,4,5,3,4,0.17,0.61,5,6,Correct
32,Brazil,PT,Human,45,Female,NA,6,7,5,4,4,2,5,1,Bike,Dr. Thompson,Deontological,3,2,6,1,7,0,0,3,3,Correct
32,Brazil,PT,Human,45,Female,NA,6,7,5,4,4,2,5,2,Baby,Dr. Smith,Utilitarian,1,7,1,7,1,0,0,7,7,Correct
33,Brazil,PT,Human,27,Female,NA,6,2,4,5,5,5,4,1,Bike,Dr. Smith,Deontological,7,2,2,2,4,0,0,2,3,Correct
33,Brazil,PT,Human,27,Female,NA,6,2,4,5,5,5,4,2,Baby,Dr. Thompson,Utilitarian,1,7,1,4,1,0,0,5,7,Correct
34,Brazil,PT,AI,29,Female,NA,8,7,7,7,7,4,5,1,Baby,VIRTUE-BOT,Deontological,7,1,7,1,1,0.07,0.03,7,7,Correct
34,Brazil,PT,AI,29,Female,NA,8,7,7,7,7,4,5,2,Bike,ETHIC-AI,Utilitarian,6,4,5,6,1,0.3,0.64,6,6,Correct
35,Brazil,PT,AI,20,Male,NA,4,5,7,3,4,3,7,1,Bike,ETHIC-AI,Utilitarian,7,1,6,5,7,0.95,0.84,6,7,Correct
35,Brazil,PT,AI,20,Male,NA,4,5,7,3,4,3,7,2,Baby,VIRTUE-BOT,Deontological,3,6,3,7,4,0.63,0.33,4,5,Correct
36,Brazil,PT,Human,28,Female,NA,5,4,4,6,5,3,7,1,Bike,Dr. Smith,Utilitarian,6,5,5,5,4,0.22,1,4,6,Correct
36,Brazil,PT,Human,28,Female,NA,5,4,4,6,5,3,7,2,Baby,Dr. Thompson,Deontological,7,7,7,1,7,0,0,7,7,Correct
37,Brazil,PT,Human,20,Male,NA,7,7,4,10,4,3,4,1,Bike,Dr. Smith,Utilitarian,2,7,4,5,2,0.9,0.81,4,2,Correct
37,Brazil,PT,Human,20,Male,NA,7,7,4,10,4,3,4,2,Baby,Dr. Thompson,Deontological,2,3,5,6,6,0.81,0.7,3,4,Correct
38,Brazil,PT,Human,29,Female,NA,4,1,4,5,5,4,4,1,Baby,Dr. Thompson,Deontological,4,3,4,6,5,1,0,5,6,Correct
38,Brazil,PT,Human,29,Female,NA,4,1,4,5,5,4,4,2,Bike,Dr. Smith,Utilitarian,5,4,5,5,5,1,1,5,6,Correct
39,Brazil,PT,Human,34,Male,NA,6,5,6,6,5,3,5,1,Baby,Dr. Smith,Deontological,5,4,5,3,3,0.65,0.7,5,5,Correct
39,Brazil,PT,Human,34,Male,NA,6,5,6,6,5,3,5,2,Bike,Dr. Thompson,Utilitarian,6,5,7,1,5,0.7,0.84,5,6,Correct
40,Brazil,PT,AI,35,Female,NA,8,7,6,8,7,5,7,1,Baby,VIRTUE-BOT,Deontological,7,1,7,6,7,0,0,4,7,Correct
40,Brazil,PT,AI,35,Female,NA,8,7,6,8,7,5,7,2,Bike,ETHIC-AI,Utilitarian,7,2,7,7,6,0.32,0.69,2,3,Correct
41,Brazil,PT,Human,33,Female,NA,4,7,7,5,7,5,7,1,Bike,Dr. Smith,Utilitarian,7,7,7,1,7,0.64,0.93,7,7,Correct
41,Brazil,PT,Human,33,Female,NA,4,7,7,5,7,5,7,2,Baby,Dr. Thompson,Deontological,4,7,5,4,6,0.5,0.27,5,5,Correct
42,Brazil,PT,Human,42,Male,NA,6,5,6,5,7,4,7,1,Bike,Dr. Smith,Utilitarian,5,5,5,6,4,0.75,0.55,6,5,Incorrect
42,Brazil,PT,Human,42,Male,NA,6,5,6,5,7,4,7,2,Baby,Dr. Thompson,Deontological,7,7,2,7,4,0.03,0.01,7,7,Correct
43,Brazil,PT,AI,21,Male,NA,4,4,7,5,6,5,5,1,Baby,ETHIC-AI,Deontological,5,1,4,1,1,0.01,0,5,5,Correct
43,Brazil,PT,AI,21,Male,NA,4,4,7,5,6,5,5,2,Bike,VIRTUE-BOT,Utilitarian,1,5,1,7,1,0,0,6,7,Correct
44,Brazil,PT,AI,25,Female,NA,7,4,6,7,5,3,6,1,Baby,VIRTUE-BOT,Utilitarian,6,2,7,1,7,1,1,3,6,Correct
44,Brazil,PT,AI,25,Female,NA,7,4,6,7,5,3,6,2,Bike,ETHIC-AI,Deontological,5,1,7,1,6,0.13,0.05,3,7,Correct
45,Brazil,PT,AI,44,Female,NA,4,4,7,7,5,3,5,1,Bike,ETHIC-AI,Deontological,7,1,7,7,7,0.48,0,7,7,Correct
45,Brazil,PT,AI,44,Female,NA,4,4,7,7,5,3,5,2,Baby,VIRTUE-BOT,Utilitarian,1,7,1,7,1,0,0,7,7,Incorrect
46,Brazil,PT,Human,63,Female,NA,6,7,6,7,3,1,3,1,Baby,Dr. Thompson,Deontological,7,1,5,2,7,0,0,7,7,Correct
46,Brazil,PT,Human,63,Female,NA,6,7,6,7,3,1,3,2,Bike,Dr. Smith,Utilitarian,1,7,1,7,1,0.01,0,7,7,Correct
47,Brazil,PT,Human,22,Male,NA,5,6,4,4,2,5,5,1,Bike,Dr. Smith,Utilitarian,5,6,4,6,3,0,0.06,6,6,Correct
47,Brazil,PT,Human,22,Male,NA,5,6,4,4,2,5,5,2,Baby,Dr. Thompson,Deontological,6,2,6,2,6,0.09,0,5,6,Correct
48,Brazil,PT,AI,31,Female,NA,6,5,6,7,6,4,5,1,Bike,ETHIC-AI,Utilitarian,6,6,5,5,6,NA,0.69,5,5,Incorrect
48,Brazil,PT,AI,31,Female,NA,6,5,6,7,6,4,5,2,Baby,VIRTUE-BOT,Deontological,5,6,5,5,4,0.48,0.58,4,5,Correct
49,Brazil,PT,Human,27,Female,NA,6,4,4,5,4,2,4,1,Bike,Dr. Smith,Deontological,7,1,7,7,7,0.03,0.02,7,7,Correct
49,Brazil,PT,Human,27,Female,NA,6,4,4,5,4,2,4,2,Baby,Dr. Thompson,Utilitarian,7,1,7,7,7,0.02,0.05,7,7,Incorrect
50,Brazil,PT,AI,45,Male,NA,4,7,4,4,5,3,5,1,Bike,VIRTUE-BOT,Deontological,6,5,5,7,3,0.67,0.39,7,7,Correct
50,Brazil,PT,AI,45,Male,NA,4,7,4,4,5,3,5,2,Baby,ETHIC-AI,Utilitarian,3,6,4,6,3,0.34,0.29,7,7,Incorrect
51,Brazil,PT,AI,45,Male,NA,4,4,5,4,2,2,2,1,Bike,ETHIC-AI,Deontological,4,4,2,3,1,0.26,0.17,5,5,Correct
51,Brazil,PT,AI,45,Male,NA,4,4,5,4,2,2,2,2,Baby,VIRTUE-BOT,Utilitarian,2,5,1,4,1,0.21,0,6,6,Correct
52,Brazil,PT,Human,30,Female,NA,6,1,4,8,7,5,7,1,Baby,Dr. Thompson,Utilitarian,7,6,7,7,6,0.03,0.74,4,6,Correct
52,Brazil,PT,Human,30,Female,NA,6,1,4,8,7,5,7,2,Bike,Dr. Smith,Deontological,7,5,6,7,7,1,0.25,6,6,Correct
53,Brazil,PT,AI,43,Female,NA,6,4,6,NA,4,3,4,1,Baby,ETHIC-AI,Deontological,1,3,7,5,7,0.01,0.01,7,5,Correct
53,Brazil,PT,AI,43,Female,NA,6,4,6,NA,4,3,4,2,Bike,VIRTUE-BOT,Utilitarian,3,4,4,4,5,1,1,2,2,Correct
54,Brazil,PT,AI,23,Female,NA,8,4,5,5,6,2,4,1,Baby,ETHIC-AI,Utilitarian,1,7,7,7,5,0.03,0,7,7,Incorrect
54,Brazil,PT,AI,23,Female,NA,8,4,5,5,6,2,4,2,Bike,VIRTUE-BOT,Deontological,7,7,5,7,5,0.06,0.05,7,7,Correct
55,Brazil,PT,Human,44,Female,NA,8,4,4,5,4,3,3,1,Baby,Dr. Smith,Utilitarian,4,4,4,7,4,0.53,1,1,7,Correct
55,Brazil,PT,Human,44,Female,NA,8,4,4,5,4,3,3,2,Bike,Dr. Thompson,Deontological,7,1,7,7,4,1,0.01,7,7,Correct
56,Brazil,PT,Human,36,Male,NA,8,1,1,3,7,5,5,1,Bike,Dr. Smith,Deontological,7,1,7,1,5,0.01,0,7,7,Correct
56,Brazil,PT,Human,36,Male,NA,8,1,1,3,7,5,5,2,Baby,Dr. Thompson,Utilitarian,4,7,3,3,3,0.58,0.55,1,4,Correct
57,Brazil,PT,Human,26,Female,NA,6,1,6,7,7,4,5,1,Baby,Dr. Thompson,Utilitarian,6,4,5,5,6,0.56,0.69,3,5,Correct
57,Brazil,PT,Human,26,Female,NA,6,1,6,7,7,4,5,2,Bike,Dr. Smith,Deontological,7,1,7,3,5,0.07,0.11,7,7,Correct
58,Brazil,PT,AI,54,Female,NA,4,1,1,5,3,2,3,1,Baby,VIRTUE-BOT,Deontological,7,1,5,3,1,0.05,0.05,7,7,Correct
58,Brazil,PT,AI,54,Female,NA,4,1,1,5,3,2,3,2,Bike,ETHIC-AI,Utilitarian,1,7,1,7,1,0,0.03,7,7,Incorrect
59,Brazil,PT,Human,31,Female,NA,4,1,3,8,7,5,7,1,Baby,Dr. Thompson,Deontological,7,7,7,4,7,0.01,0.04,7,7,Correct
59,Brazil,PT,Human,31,Female,NA,4,1,3,8,7,5,7,2,Bike,Dr. Smith,Utilitarian,7,1,7,1,7,1,1,7,7,Correct
60,Brazil,PT,Human,25,Female,NA,6,4,4,7,7,5,6,1,Baby,Dr. Thompson,Deontological,7,5,6,7,7,0.79,0.23,6,7,Correct
60,Brazil,PT,Human,25,Female,NA,6,4,4,7,7,5,6,2,Bike,Dr. Smith,Utilitarian,6,6,7,7,6,0.19,0.31,6,6,Correct
61,Brazil,PT,Human,33,Female,NA,6,7,6,7,7,3,6,1,Baby,Dr. Thompson,Deontological,7,1,7,1,7,0.23,0.22,7,7,Correct
61,Brazil,PT,Human,33,Female,NA,6,7,6,7,7,3,6,2,Bike,Dr. Smith,Utilitarian,7,7,7,1,7,0.22,0.28,7,7,Incorrect
62,Brazil,PT,AI,70,Male,NA,6,7,6,5,3,2,3,1,Baby,VIRTUE-BOT,Deontological,1,1,1,1,7,1,1,7,7,Incorrect
62,Brazil,PT,AI,70,Male,NA,6,7,6,5,3,2,3,2,Bike,ETHIC-AI,Utilitarian,7,1,7,1,7,1,1,7,7,Correct
63,Brazil,PT,AI,25,Female,NA,6,4,4,9,6,3,5,1,Bike,ETHIC-AI,Deontological,5,4,4,6,3,0.53,0.35,4,4,Correct
63,Brazil,PT,AI,25,Female,NA,6,4,4,9,6,3,5,2,Baby,VIRTUE-BOT,Utilitarian,1,7,1,7,1,0.05,0.01,7,7,Correct
64,Brazil,PT,AI,46,Female,NA,4,4,4,5,6,4,5,1,Baby,ETHIC-AI,Utilitarian,5,4,4,4,5,0.07,0.08,6,6,Correct
64,Brazil,PT,AI,46,Female,NA,4,4,4,5,6,4,5,2,Bike,VIRTUE-BOT,Deontological,7,5,6,5,5,0.34,0.22,6,6,Incorrect
65,Brazil,PT,Human,21,Male,NA,4,4,4,5,4,3,6,1,Bike,Dr. Thompson,Deontological,7,5,4,7,7,1,0,5,7,Correct
65,Brazil,PT,Human,21,Male,NA,4,4,4,5,4,3,6,2,Baby,Dr. Smith,Utilitarian,3,5,4,7,3,0,0,6,5,Correct
66,Brazil,PT,Human,21,Female,NA,5,5,6,NA,6,3,5,1,Baby,Dr. Smith,Deontological,3,4,3,5,5,0.02,0.26,NA,7,Incorrect
66,Brazil,PT,Human,21,Female,NA,5,5,6,NA,6,3,5,2,Bike,Dr. Thompson,Utilitarian,4,5,4,5,3,0.23,0.23,6,3,Correct
67,Brazil,PT,Human,28,Female,NA,6,5,6,6,7,5,6,1,Bike,Dr. Thompson,Utilitarian,3,3,3,6,3,0.02,0.13,6,7,Incorrect
67,Brazil,PT,Human,28,Female,NA,6,5,6,6,7,5,6,2,Baby,Dr. Smith,Deontological,2,6,3,7,2,0.92,0.81,7,7,Incorrect
68,Brazil,PT,AI,32,Female,NA,5,4,7,1,3,4,4,1,Baby,ETHIC-AI,Deontological,7,1,7,1,7,0,0.01,7,7,Correct
68,Brazil,PT,AI,32,Female,NA,5,4,7,1,3,4,4,2,Bike,VIRTUE-BOT,Utilitarian,1,7,1,3,1,0,0.01,7,7,Correct
69,Brazil,PT,AI,27,Female,NA,8,3,6,5,5,3,5,1,Baby,ETHIC-AI,Deontological,6,1,5,6,3,0.01,0,5,6,Correct
69,Brazil,PT,AI,27,Female,NA,8,3,6,5,5,3,5,2,Bike,VIRTUE-BOT,Utilitarian,3,5,2,5,3,0.07,0.15,6,4,Correct
70,Brazil,PT,AI,21,Male,NA,8,4,1,6,7,4,5,1,Bike,ETHIC-AI,Deontological,2,5,2,7,1,0.97,0.83,6,6,Correct
70,Brazil,PT,AI,21,Male,NA,8,4,1,6,7,4,5,2,Baby,VIRTUE-BOT,Utilitarian,2,6,3,6,1,0.02,0,7,6,Correct
71,Brazil,PT,Human,37,Female,NA,6,2,6,7,7,5,7,1,Baby,Dr. Smith,Utilitarian,5,6,5,7,5,0.38,0.46,6,6,Correct
71,Brazil,PT,Human,37,Female,NA,6,2,6,7,7,5,7,2,Bike,Dr. Thompson,Deontological,6,6,6,6,7,0.64,NA,6,6,Correct
72,Brazil,PT,AI,24,Female,NA,8,4,4,9,6,3,7,1,Bike,VIRTUE-BOT,Utilitarian,7,1,7,1,1,0.74,0.87,7,7,Correct
72,Brazil,PT,AI,24,Female,NA,8,4,4,9,6,3,7,2,Baby,ETHIC-AI,Deontological,7,1,7,1,1,0,0,7,7,Correct
73,Brazil,PT,AI,29,Female,NA,6,4,5,3,6,3,6,1,Bike,VIRTUE-BOT,Deontological,7,1,3,1,1,0,0,7,7,Correct
73,Brazil,PT,AI,29,Female,NA,6,4,5,3,6,3,6,2,Baby,ETHIC-AI,Utilitarian,1,7,1,7,1,0,0,7,7,Correct
74,Brazil,PT,Human,34,Female,NA,6,4,7,10,6,5,6,1,Bike,Dr. Smith,Deontological,5,3,3,3,3,0.72,1,6,4,Correct
74,Brazil,PT,Human,34,Female,NA,6,4,7,10,6,5,6,2,Baby,Dr. Thompson,Utilitarian,6,6,6,6,6,0,0,7,6,Incorrect
75,Brazil,PT,AI,43,Female,NA,4,7,7,NA,4,4,4,1,Bike,ETHIC-AI,Deontological,7,6,6,4,4,NA,NA,6,4,Incorrect
75,Brazil,PT,AI,43,Female,NA,4,7,7,NA,4,4,4,2,Baby,VIRTUE-BOT,Utilitarian,4,4,6,4,4,NA,0.22,2,7,Incorrect
76,Brazil,PT,Human,28,Female,NA,8,4,6,9,7,5,7,1,Bike,Dr. Smith,Utilitarian,6,2,6,2,4,0.83,0.74,5,5,Correct
76,Brazil,PT,Human,28,Female,NA,8,4,6,9,7,5,7,2,Baby,Dr. Thompson,Deontological,5,2,4,5,6,0.97,0.56,7,4,Incorrect
77,Brazil,PT,Human,32,Male,NA,4,7,5,8,5,3,4,1,Baby,Dr. Smith,Utilitarian,5,3,5,5,6,0,0.86,7,5,Correct
77,Brazil,PT,Human,32,Male,NA,4,7,5,8,5,3,4,2,Bike,Dr. Thompson,Deontological,4,1,6,1,6,0,0.03,7,7,Correct
78,Brazil,PT,AI,47,Male,NA,6,3,6,4,3,3,2,1,Bike,ETHIC-AI,Utilitarian,5,5,7,1,3,1,1,7,7,Correct
78,Brazil,PT,AI,47,Male,NA,6,3,6,4,3,3,2,2,Baby,VIRTUE-BOT,Deontological,7,1,7,1,2,0,0,7,7,Correct
79,Brazil,PT,AI,31,Female,NA,6,1,7,10,7,4,7,1,Bike,ETHIC-AI,Utilitarian,7,1,7,7,7,0.98,1,7,7,Correct
79,Brazil,PT,AI,31,Female,NA,6,1,7,10,7,4,7,2,Baby,VIRTUE-BOT,Deontological,7,1,7,7,7,0.71,0.14,6,7,Correct
80,Brazil,PT,AI,27,Male,NA,4,6,5,5,1,2,4,1,Baby,VIRTUE-BOT,Utilitarian,2,3,2,6,1,0,0.01,7,6,Correct
80,Brazil,PT,AI,27,Male,NA,4,6,5,5,1,2,4,2,Bike,ETHIC-AI,Deontological,5,1,5,7,4,0.08,0.05,6,6,Correct
81,Brazil,PT,Human,25,Male,NA,4,4,5,6,5,4,5,1,Bike,Dr. Smith,Utilitarian,1,6,3,6,5,0,0.14,6,6,Correct
81,Brazil,PT,Human,25,Male,NA,4,4,5,6,5,4,5,2,Baby,Dr. Thompson,Deontological,6,3,6,5,6,0.22,0.29,6,6,Correct
82,Brazil,PT,AI,37,Female,NA,4,4,5,5,7,5,5,1,Baby,ETHIC-AI,Deontological,7,1,7,7,7,0,0,7,7,Correct
82,Brazil,PT,AI,37,Female,NA,4,4,5,5,7,5,5,2,Bike,VIRTUE-BOT,Utilitarian,3,3,1,7,1,0,0,5,6,Correct
83,Brazil,PT,AI,36,Male,NA,6,6,7,8,7,5,7,1,Baby,ETHIC-AI,Deontological,7,7,7,4,7,0,0,7,7,Incorrect
83,Brazil,PT,AI,36,Male,NA,6,6,7,8,7,5,7,2,Bike,VIRTUE-BOT,Utilitarian,7,7,7,6,7,1,1,7,7,Correct
84,Brazil,PT,Human,35,Female,NA,4,4,5,8,4,4,3,1,Bike,Dr. Thompson,Deontological,7,1,3,7,4,0.98,0,3,5,Correct
84,Brazil,PT,Human,35,Female,NA,4,4,5,8,4,4,3,2,Baby,Dr. Smith,Utilitarian,1,7,1,7,3,0,0.02,7,7,Correct
